234; query_1.fa; 14624.fa; Needle
290; query_1.fa; 14624.fa; Needle
433; query_1.fa; 23784.fa; Needle
458; query_1.fa; 23784.fa; Needle
855; query_1.fa; 50597.fa; Needle
1659; query_1.fa; 138959.fa; Needle
2763; query_16.fa; 14624.fa; Needle
3180; query_1.fa; 307977.fa; Needle
3762; query_16.fa; 23784.fa; Needle
5067; query_1.fa; 535941.fa; Needle
6871; query_16.fa; 50597.fa; Needle
8496; query_1.fa; 1071882.fa; Needle
13616; query_16.fa; 138959.fa; Needle
14063; query_16.fa; 138959.fa; Needle
25728; query_16.fa; 307977.fa; Needle
25886; query_16.fa; 307977.fa; Needle
42594; query_16.fa; 535941.fa; Needle
